Trmt,rep,count,T0,T4_W,T4_WO
2,1,1,3,2,3
2,1,2,4,3,4
2,1,3,5,3,4
2,2,1,6,5,7
2,2,2,4,3,4
2,2,3,2,2,2
2,3,1,5,4,4
2,3,2,2,3,5
2,3,3,6,5,6
4,1,1,10,9,9
4,1,2,12,8,8
4,1,3,8,8,13
4,2,1,9,10,11
4,2,2,9,10,10
4,2,3,11,10,14
4,3,1,9,6,7
4,3,2,10,10,11
4,3,3,11,10,13
6,1,1,16,16,16
6,1,2,15,15,18
6,1,3,15,17,19
6,2,1,14,14,14
6,2,2,18,12,13
6,2,3,13,10,15
6,3,1,13,10,10
6,3,2,14,10,12
6,3,3,18,10,13
8,1,1,17,17,19
8,1,2,15,12,16
8,1,3,20,20,20
8,2,1,21,19,21
8,2,2,18,20,23
8,2,3,25,19,20
8,3,1,23,14,17
8,3,2,20,14,17
8,3,3,21,18,19
10,1,1,25,27,29
10,1,2,30,29,31
10,1,3,29,31,33
10,2,1,26,28,30
10,2,2,30,25,31
10,2,3,28,32,31
10,3,1,31,32,34
10,3,2,33,33,34
10,3,3,36,33,37
