hr,B00,B00,B00,B00,B00,C00,C00,C00,C00,C00,B02,B02,B02,B02,B02,C02,C02,C02,C02,C02,B04,B04,B04,B04,B04,C04,C04,C04,C04,C04,B06,B06,B06,B06,C06,C06,C06,C06,B08,B08,B08,B08,B08,C08,C08,C08,C08,C08,B10,B10,B10,B10,B10,C10,C10,C10,C10,C10
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
34,0,0,2,0,0,0,100,40,70,60,0,0,0,0,0,180,140,120,140,150,2,0,0,0,0,80,150,120,170,110,0,0,0,0,130,130,100,130,0,0,2,0,0,350,150,260,200,10,0,0,0,0,0,110,120,90,150,40
83,6,2,4,0,0,140,310,70,170,0,0,0,4,2,4,470,240,200,170,170,2,0,0,0,2,140,370,320,240,220,2,0,2,0,230,180,250,440,2,2,2,0,0,600,350,460,360,10,4,2,2,0,4,190,160,250,310,160
136,6,8,4,2,8,190,140,20,130,10,4,4,6,6,8,320,260,390,320,430,2,0,2,2,0,280,320,510,250,190,4,2,0,0,210,290,230,430,4,2,6,4,6,440,270,280,420,30,2,0,6,2,2,160,200,140,440,200
185,6,6,8,4,10,210,20,30,60,70,4,14,8,24,10,50,160,190,170,80,0,0,0,2,2,150,120,200,80,60,8,0,4,4,110,150,90,290,6,8,0,0,6,340,560,240,310,70,10,0,10,10,2,150,130,90,200,110
207,8,8,14,2,12,260,30,0,10,50,10,44,8,48,14,60,170,250,70,80,0,40,0,40,0,80,120,140,50,30,4,0,0,2,110,90,70,170,2,6,6,4,4,270,420,120,240,50,6,2,4,20,4,100,230,70,170,90
248,2,4,6,4,18,180,10,0,40,30,8,34,12,58,8,20,40,30,90,20,0,6,0,4,0,60,60,80,20,40,2,0,2,8,80,80,40,80,2,2,4,6,4,150,310,170,130,20,8,0,10,22,0,70,130,60,40,60
298,0,2,6,10,6,210,10,0,0,10,10,66,32,110,22,10,16,20,10,30,0,0,0,2,0,20,40,10,6,4,2,0,2,6,12,6,0,50,10,0,0,0,0,110,340,90,80,10,12,0,2,14,0,30,20,110,10,30
320,0,2,6,4,10,220,20,4,10,10,10,54,26,98,14,10,20,30,10,0,0,0,2,4,0,10,40,40,4,10,2,0,0,0,20,16,4,6,6,0,2,2,2,50,260,70,80,10,14,0,6,12,0,30,30,80,10,40
368,0,0,2,0,4,220,0,0,10,0,6,62,26,158,2,0,0,20,30,20,0,0,2,2,0,44,20,10,10,0,0,0,2,1,20,2,0,0,0,0,2,6,2,30,80,70,70,0,8,4,6,20,0,30,30,30,0,60
414,2,0,0,0,2,240,0,0,10,20,12,26,28,124,4,10,14,20,20,26,0,0,0,0,0,40,30,30,6,0,0,0,0,4,10,0,40,2,0,2,2,0,0,50,50,90,90,30,12,0,2,6,0,30,40,30,20,70
468,0,2,0,0,4,230,0,0,0,40,4,10,38,146,2,10,2,50,10,20,0,6,0,0,2,20,40,10,0,0,4,4,0,0,10,14,10,10,0,4,2,0,4,20,10,90,60,0,0,2,0,2,2,14,20,10,10,70
486,0,0,0,0,2,230,2,4,2,10,6,10,36,120,0,4,0,70,10,10,2,6,0,0,0,12,36,2,10,0,0,0,0,2,10,40,30,0,0,0,0,2,2,30,10,50,40,10,6,2,0,0,0,10,10,20,10,70
535,0,0,0,0,10,130,10,0,2,10,4,12,50,100,4,20,2,70,10,0,0,4,0,0,0,10,40,0,16,0,0,0,10,0,10,10,20,10,0,0,2,0,2,0,10,20,50,10,2,4,0,0,0,20,30,12,4,30
581,0,0,0,0,10,70,2,0,2,10,2,0,58,64,2,0,0,80,0,10,2,4,2,4,0,4,10,10,20,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,4,14,2,0,2,2,2,0,2,20,10,0,0,30
609,0,2,0,0,8,0,0,0,0,0,4,34,80,14,0,4,2,100,2,0,0,2,0,2,0,0,0,30,30,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,12,6,0,1,1,2,0,8,22,2,3,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
