hr,B_m_1,B_m_2,B_m_3,B_m_4,B_m_5,C_m_1,C_m_2,C_m_3,C_m_4,C_m_5,B_250_1,B_250_2,B_250_3,B_250_4,B_250_5,C_250_1,C_250_2,C_250_3,C_250_4,C_250_5,B_10_1,B_10_2,B_10_3,B_10_4,B_10_5,C_10_1,C_10_2,C_10_3,C_10_4,C_10_5
13,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
60,0,0,0,0,4,0,20,0,0,20,0,2,0,0,0,36,20,12,10,0,0,0,0,4,0,40,0,80,20,60
108,2,0,2,2,0,20,40,20,0,0,0,6,0,4,12,18,22,20,6,6,0,4,2,4,4,40,0,40,20,20
161,6,2,6,0,1,60,20,40,28,26,2,8,0,4,8,4,28,20,14,22,8,2,0,2,8,20,60,60,100,20
178,8,4,14,6,2,140,20,60,20,20,8,2,6,0,10,18,70,24,34,28,4,4,4,2,12,120,40,40,160,0
226,6,6,10,8,1,100,120,80,40,0,0,6,2,4,4,24,56,26,10,30,4,0,8,4,10,100,60,30,60,0
254,6,6,12,6,6,140,40,20,0,0,4,2,4,8,4,20,48,8,12,16,14,8,2,4,4,6,10,8,56,6
301,6,6,18,10,2,28,32,24,8,2,1,0,4,2,4,12,28,4,14,6,2,2,14,10,4,20,20,20,60,0
328,10,10,16,10,4,40,20,60,4,10,0,0,0,2,2,8,24,2,4,22,4,10,8,4,2,300,20,40,60,0
378,4,10,18,12,8,20,20,20,0,0,2,0,0,0,4,8,16,12,12,22,16,2,2,8,2,160,20,0,100,0
421,8,6,22,14,6,100,0,0,0,0,4,0,0,0,8,6,8,6,4,24,2,2,0,6,2,140,0,80,0,40
474,8,12,14,14,4,40,10,10,0,10,3,8,6,0,18,0,0,6,0,6,6,6,2,2,0,140,0,80,80,0
495,2,14,22,22,8,80,10,40,10,10,4,6,4,0,14,4,2,0,6,28,4,6,6,8,2,60,40,20,40,0
563,12,2,12,16,8,60,10,0,20,160,10,0,0,0,12,2,0,0,6,10,6,6,4,8,0,110,10,20,20,10
588,4,10,22,6,14,60,30,0,20,30,2,0,2,0,18,0,0,0,14,10,10,2,4,4,0,60,20,10,30,0
