19,3,0.2,after
19,3,0.2,after
19,5,0.2,after
21,4,0.2,after
20,4,0.2,after
23,3,0.4,after
20,2,0.4,after
16,2,0.4,after
17,2,0.4,after
18,3,0.4,after
18,2,0.6,after
20,2,0.6,after
15,2,0.6,after
14,2,0.6,after
13,2,0.6,after
18,0.4,0.8,after
22,0.7,0.8,after
17,0.9,0.8,after
19,0.6,0.8,after
17,0.4,0.8,after
18,6,0.2,before
17,4,0.2,before
29,5,0.2,before
26,5,0.2,before
20,3,0.2,before
19,3,0.4,before
19,4,0.4,before
22,3,0.4,before
20,5,0.4,before
15,2,0.4,before
15,4,0.6,before
18,3,0.6,before
24,3,0.6,before
24,4,0.6,before
20,3,0.6,before
13,3,0.8,before
23,3,0.8,before
24,2,0.8,before
20,3,0.8,before
20,2,0.8,before
